Name,Parking Duration (Minutes),Parking Slot Number,Amount Charged ($)
Karol G,321.9975657630063,24.609981785563974,24.668149131777422
Taylor Swift,313.03652438456544,28.326883372749755,35.53169930485999
Kali Uchis,302.82805926168083,69.34540396811008,42.953008494745184
Bad Bunny,213.30866604612268,156.94215787531954,47.40518766562939
Rauw Alejandro,132.6468139198186,148.80706613454092,36.52168318113339
SZA,201.4688579603362,75.07757656448328,51.2119467159904
Becky G,98.51892635688006,207.45641114882602,28.825067243845965
Maluma,240.83348064354735,34.35857945997714,44.38672328468976
Nicholas Lopez,16.055579970280036,6.706671086618889,36.422528479073996
Ariana Grande,498.98161443573355,92.17455032892858,37.680207311926964
