Name,Parking Duration (Minutes),Parking Slot Number,Amount Charged ($)
Karol G,321.6715808183653,14.322007282856182,19.63402739381659
Taylor Swift,305.27218851107955,22.57204193432196,20.4721404760251
Kali Uchis,276.38264903645603,52.50201721907546,15.47899612960851
Bad Bunny,187.70957034808012,155.17891969284145,21.550647548850524
Rauw Alejandro,133.18779731893753,143.85846146499767,19.938111836057917
SZA,168.4194362437588,68.37473832197925,14.498382407396104
Becky G,95.35835394710759,201.03332038193264,12.715082988916562
Maluma,236.06033923523256,26.07251669133443,18.455703717667014
Nicholas Lopez,15.449730967408177,3.636760019033141,3.6810879995261905
Ariana Grande,489.37042174512715,87.22809053908955,36.15729850120303
